Food,Category,Popularity,Bryan Johnson,David Sinclair,Huberman,Mediterranean Diet,Keto Diet,MIND diet,Paleo Diet,Vegan Diet,Atkins Diet,Gluten-Free Diet,Vegetarian Diet,Flexitarian Diet,Autoimmune Protocol Diet,Longevity,Brain health (MIND),Alzheimer prevention,Muscle building,Overal/Average,Blue Zone Diet,Low Glycemic / Insulin Impact,Contaminant / Toxicity Risk,Comments
Cucumber,Vegetable,,7,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.1875,5,5,5,
Curry,Other,,8,8,8,8,10,8,10,10,10,10,10,10,5,8,8,8,5,8.6875,5,5,5,
Custard,Other,,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,5,1.5,5,5,5,
Donuts,Other,,2,2,2,0,0,0,0,0,0,0,10,10,0,2,2,2,5,2,5,5,5,
Dumplings,Other,,5,5,5,0,0,0,0,0,0,0,10,10,0,5,5,5,5,3.125,5,5,5,
Egg,Animal Product,,8,8,9,3,10,3,10,0,10,10,0,5,0,8,8,8,5,6.25,5,5,5,
Eggplant,Vegetable,,8,8,8,10,10,10,0,10,10,10,10,10,0,8,8,8,5,8,5,5,5,
Eggs,Other,,8,8,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.333333333333334,5,5,5,
Falafel,Other,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,
Fava beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,
Fish,Animal Product,,9,9,9,10,10,10,10,0,10,10,0,10,10,9,9,9,5,8.375,5,5,5,
Flaxseeds,Nut/Seed,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,5,9.375,5,5,5,
Focaccia,Other,,6,6,6,6,0,6,0,0,0,0,10,10,0,6,6,6,5,4.25,5,5,5,
French fries,Other,,4,4,4,0,10,0,0,0,0,10,10,10,0,4,4,4,5,4,5,5,5,
Fried chicken,Other,,4,5,5,0,10,0,10,0,10,0,0,10,0,4,5,5,5,4.25,5,5,5,
Frittata,Other,,7,7,8,7,10,7,10,0,10,10,0,10,10,7,7,8,5,7.375,5,5,5,
Fruit (assorted),Other,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,
Garlic,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,0,9,9,9,5,9,5,5,5,
Ghee,Oil/Fat,,7,7,7,10,10,10,10,0,10,10,0,10,0,7,7,7,5,7,5,5,5,
Gnocchi,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,
Grapes,Fruit,,7,7,7,10,3,10,10,10,3,10,10,10,10,7,7,7,5,8,5,5,5,
Greek Yogurt,Other,,9,9,8,10,0,5,0,0,0,0,0,0,0,8,7,7,5,3.9375,5,5,5,
Green beans,Vegetable,,8,8,8,10,3,10,0,10,3,10,10,10,0,8,8,8,5,7.125,5,5,5,
Green peas,Legume/Pulse,,8,8,8,10,3,10,0,10,3,10,10,10,0,8,8,8,5,7.125,5,5,5,
Grilled cheese sandwich,Other,,5,5,5,0,0,0,0,0,0,0,10,10,0,5,5,5,5,3.125,5,5,5,
Grilled fish,Other,,9,9,9,10,10,10,10,0,10,10,0,10,10,9,9,9,5,8.375,5,5,5,
Grilled vegetables,Other,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,5,5,5,
Guacamole,Other,,8,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.25,5,5,5,
Ham,Other,,4,4,4,5,10,0,10,0,10,10,0,10,0,4,4,4,5,4.9375,5,5,5,
Hot dogs,Other,,2,2,2,0,10,0,10,0,10,0,0,0,0,2,2,2,5,2.625,5,5,5,
Hummus,Other,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,
Ice cream,Other,,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,5,1.5,5,5,5,
Kale,Vegetable,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,
Kebab,Other,,6,6,6,6,10,6,10,0,10,10,0,10,0,6,6,6,5,6.125,5,5,5,
Kidney beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,
Kiwi,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Lamb,Animal Product,,5,5,5,5,10,0,10,0,10,10,0,10,10,5,5,5,5,5.9375,5,5,5,
Lard,Oil/Fat,,3,3,3,0,10,0,10,0,10,10,0,0,0,3,3,3,5,3.625,5,5,5,
Lasagna,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,
Lemon,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Lentils,Legume/Pulse,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,
Lettuce,Vegetable,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8,5,5,5,
Lime,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Lobster roll,Other,,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,5,2.625,5,5,5,
Macaroni and cheese,Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,
Mango,Fruit,,8,8,8,10,3,10,5,10,3,10,10,10,5,8,8,8,5,7.75,5,5,5,
Mashed potatoes,Other,,5,5,5,5,0,5,0,10,3,10,10,10,0,5,5,5,5,5.1875,5,5,5,
Meatloaf,Other,,4,4,4,5,10,0,10,0,10,10,0,10,0,4,4,4,5,4.9375,5,5,5,
Milk,Animal Product,,6,7,6,5,0,5,0,0,0,0,0,0,0,6,6,6,5,2.9375,5,5,5,
Millet,Grain/Starch,,8,8,8,10,3,10,0,10,5,10,10,10,0,8,8,8,5,7.25,5,5,5,
Mixed greens salad,Other,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Muffins,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,
Mung beans,Legume/Pulse,,8,9,9,10,0,10,0,10,0,10,10,10,0,8,9,9,5,7,5,5,5,
Nachos,Other,,4,4,4,0,0,0,0,0,0,10,10,10,0,4,4,4,5,3.375,5,5,5,
Navy beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,
Noodles,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,
Nuts,Other,,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,
Oatmeal,Other,,9,9,9,10,0,10,0,10,5,5,10,10,0,9,9,9,5,7.125,5,5,5,
Oats,Grain/Starch,,8,8,9,10,0,10,0,10,5,5,10,10,0,8,8,8,5,6.8125,5,5,5,
Olive Oil,Other,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Olive oil,Oil/Fat,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Omelette,Other,,8,8,9,8,10,8,10,0,10,10,0,10,10,8,8,9,5,7.875,5,5,5,
Onion,Vegetable,,8,8,8,10,10,10,10,10,10,10,10,10,0,8,8,8,5,8.625,5,5,5,
Onions,Other,,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,
Orange,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,
Paella,Other,,7,7,7,7,0,7,0,0,0,10,10,10,0,7,7,7,5,5.375,5,5,5,
Palm oil,Oil/Fat,,3,3,3,0,10,0,10,0,10,10,10,10,0,3,3,3,5,4.875,5,5,5,
Pancakes,Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,
Papaya,Fruit,,8,8,8,10,3,10,5,10,3,10,10,10,5,8,8,8,5,7.75,5,5,5,
Pasta,Other,,5,6,6,10,0,10,0,0,5,0,10,10,0,5,6,6,5,4.9375,5,5,5,
Pasta salad,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,
Peach,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,
Peanuts,Nut/Seed,,8,7,7,0,0,0,0,10,0,10,0,0,0,7,7,7,5,3.9375,5,5,5,
Pear,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,
Peas,Vegetable,,8,8,8,10,3,10,0,10,3,10,10,10,0,8,8,8,5,7.125,5,5,5,
Pie (dessert),Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,
Pineapple,Fruit,,7,7,7,10,3,10,5,10,3,10,10,10,5,7,7,7,5,7.375,5,5,5,
Pinto beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,
Pistachios,Nut/Seed,,9,9,9,10,3,10,10,10,3,10,10,10,0,9,9,9,5,8.125,5,5,5,
Pita bread,Other,,6,6,6,6,0,6,0,0,5,0,10,10,0,6,6,6,5,4.5625,5,5,5,
Pizza,Other,,4,4,4,5,0,5,0,0,0,0,10,10,0,4,4,4,5,3.375,5,5,5,
Plantains,Grain/Starch,,7,7,7,10,3,10,10,10,3,10,10,10,0,7,7,7,5,7.375,5,5,5,
Plum,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,
Polenta,Other,,6,6,6,6,3,6,0,10,5,10,10,10,0,6,6,6,5,6,5,5,5,
Pomegranate,Fruit,,9,9,9,10,3,10,5,10,3,10,10,10,5,9,9,9,5,8.125,5,5,5,
Pork,Animal Product,,4,4,4,5,10,0,10,0,10,10,0,10,10,4,4,4,5,5.5625,5,5,5,
Potato salad,Other,,5,5,5,0,0,0,0,10,0,10,10,10,0,5,5,5,5,4.375,5,5,5,
Potatoes,Other,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Pumpkin,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,5,9,9,9,5,9.3125,5,5,5,
Pumpkin seeds,Nut/Seed,,9,9,9,10,10,10,10,10,10,10,10,10,0,9,9,9,5,9,5,5,5,
Quesadillas,Other,,5,5,5,0,0,0,0,0,0,0,10,10,0,5,5,5,5,3.125,5,5,5,
Quiche,Other,,6,6,6,6,0,6,0,0,0,0,10,10,0,6,6,6,5,4.25,5,5,5,
Quinoa,Grain/Starch,,9,9,9,10,3,10,0,10,5,10,10,10,0,9,9,9,5,7.625,5,5,5,
Radish,Vegetable,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,5,5,
Rice,Grain/Starch,,7,8,8,10,0,10,0,0,5,10,10,10,0,7,7,7,5,6.1875,5,5,5,
Rice pudding,Other,,4,4,4,0,0,0,0,0,0,10,0,0,0,4,4,4,5,2.125,5,5,5,
Risotto,Other,,6,6,6,6,0,6,0,0,5,10,10,10,0,6,6,6,5,5.1875,5,5,5,
Roast beef,Other,,5,4,5,5,10,0,10,0,10,10,0,10,0,5,4,5,5,5.1875,5,5,5,
Roasted vegetables,Other,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,
Rye,Grain/Starch,,8,8,8,10,0,10,0,0,5,0,10,10,0,7,7,7,5,5.625,5,5,5,
Salmon,Other,,9,9,9,10,10,10,10,0,10,10,0,10,10,9,9,9,5,8.375,5,5,5,
Sandwiches,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,
Sashimi,Other,,9,9,9,10,10,10,10,0,10,10,0,10,0,9,9,9,5,7.75,5,5,5,
Sausages,Other,,4,4,4,5,10,0,10,0,10,10,0,10,0,4,4,4,5,4.9375,5,5,5,
Savory pie (meat pie),Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,
Seeds,Other,,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,
Semolina,Grain/Starch,,5,5,5,10,0,10,0,0,5,0,10,10,0,5,5,5,5,4.6875,5,5,5,
Sesame oil,Oil/Fat,,7,6,6,10,10,10,0,10,10,10,10,10,0,7,6,6,5,7.375,5,5,5,
Sesame seeds,Nut/Seed,,8,8,8,10,10,10,10,10,10,10,10,10,0,8,8,8,5,8.625,5,5,5,
Shrimp cocktail,Other,,6,6,6,6,10,6,10,0,10,10,0,10,0,6,6,6,5,6.125,5,5,5,
Sorghum,Grain/Starch,,7,7,7,10,3,10,0,10,5,10,10,10,0,7,7,7,5,6.875,5,5,5,
Soup,Other,,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,
Soybeans,Legume/Pulse,,8,9,9,10,0,10,0,10,0,10,10,10,0,8,9,9,5,7,5,5,5,
Spaghetti Bolognese,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,
Spelt,Grain/Starch,,8,8,8,10,0,10,0,0,5,0,10,10,0,8,8,8,5,5.8125,5,5,5,
Spinach,Vegetable,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,
Spring rolls,Other,,6,6,6,6,0,6,0,10,0,10,10,10,0,6,6,6,5,5.5,5,5,5,
Steamed mussels,Other,,7,7,7,7,10,7,10,0,10,10,0,10,0,7,7,7,5,6.625,5,5,5,
Stew,Other,,6,6,6,6,10,6,10,0,10,10,0,10,0,6,6,6,5,6.125,5,5,5,
Stir-fry,Other,,8,8,9,8,10,8,10,10,10,10,10,10,10,8,8,9,5,9.125,5,5,5,
Strawberry,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,
Sunflower oil,Oil/Fat,,5,5,5,3,10,3,0,0,10,10,10,10,0,5,5,5,5,5.375,5,5,5,
Sunflower seeds,Nut/Seed,,8,8,8,10,10,10,10,10,10,10,10,10,0,8,8,8,5,8.625,5,5,5,
Sushi,Other,,8,8,8,10,0,10,0,0,5,10,0,10,0,8,8,8,5,5.8125,5,5,5,
Sweet Potato,Other,,8,8,8,10,3,10,10,10,5,10,10,10,0,8,8,8,5,7.875,5,5,5,
Sweet potatoes,Grain/Starch,,8,8,8,10,3,10,10,10,5,10,10,10,0,8,8,8,5,7.875,5,5,5,
Tacos,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,
Tapioca,Grain/Starch,,5,5,5,10,3,10,0,10,5,10,10,10,0,5,5,5,5,6.125,5,5,5,
Taro,Grain/Starch,,6,7,7,5,0,5,0,10,3,10,10,10,0,6,6,6,5,5.6875,5,5,5,
Tempura,Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,
Tofu,Other,,8,9,8,0,0,5,0,10,0,10,10,10,0,8,9,9,5,6,5,5,5,
Tomato,Vegetable,,9,9,9,10,10,10,0,10,10,10,10,10,0,9,9,9,5,8.375,5,5,5,
Tomatoes,Other,,9,9,9,10,10,10,0,10,10,10,10,10,0,9,9,9,5,8.375,5,5,5,
Vegetables (assorted),Other,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,
Waffles,Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,
Walnuts,Nut/Seed,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,5,9.375,5,5,5,
Watermelon,Fruit,,7,7,7,10,3,10,10,10,3,10,10,10,10,7,7,7,5,8,5,5,5,
Wheat,Grain/Starch,,6,7,7,10,0,10,0,0,5,0,10,10,0,6,6,6,5,5.1875,5,5,5,
White potatoes,Grain/Starch,,5,5,5,5,0,5,0,10,3,10,10,10,0,5,5,5,5,5.1875,5,5,5,
Whole Wheat Bread,Other,,7,7,7,7,0,7,0,0,5,0,10,10,0,7,7,7,5,5.0625,5,5,5,
Wraps,Other,,6,6,6,5,0,5,0,0,5,0,10,10,0,6,6,6,5,4.4375,5,5,5,
Yam,Grain/Starch,,8,8,8,10,3,10,10,10,5,10,10,10,0,8,8,8,5,7.875,5,5,5,
Yogurt,Animal Product,,8,8,8,10,0,5,0,0,0,0,0,0,0,8,7,7,5,3.8125,5,5,5,
Zucchini,Vegetable,,8,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.25,5,5,5,
,Other,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,
